GeneName,0h.a,0h.b,2h.a,2h.b,8h.a,8h.b,16h.a,16h.b
Htt,15.23641156,15.16182164,15.31808333,15.1809507,15.05180301,15.09100955,14.84770202,14.89223551
Ccs,13.60736623,13.62680294,13.58079137,13.56036563,13.52849874,13.62777793,13.30071821,13.27095669
Mast1,13.55996868,13.63060637,13.7531949,13.62478498,13.4606053,13.51807758,13.38834488,13.33721553
Dnah17,15.33189253,15.372921,15.41474085,15.25528742,14.9899663,15.04732259,14.47234137,14.51140575
Rab8b,14.55363445,14.36999155,14.25382786,14.4883862,14.40309417,14.38250627,14.33524622,14.20726094
Elmo1,16.5099389,16.55295453,16.34894406,16.23438877,16.08200066,16.21197433,15.85745718,15.85745718
Tcp1,13.77990132,12.97473797,14.59795581,14.46525252,14.35402592,14.29413805,13.55996868,13.61022651
Arhgef18,12.30527435,12.29860246,12.56152454,12.4664819,11.84866003,12.22995689,11.89156537,11.59195499
Ankrd44,12.9164483,13.22714573,13.38917339,13.30321182,13.15699841,13.2391296,12.81533434,12.95922747
Wbp11,19.17891794,19.17891794,19.38492682,19.38492682,18.85186283,18.85186283,18.85186283,18.74733942
Ythdf2,12.62635676,12.43441372,13.79227996,13.38602534,13.4434218,13.27400922,13.253939,13.06521351
Prkaa1,14.01860334,14.0670553,14.11937803,13.93928906,13.89504593,13.94655011,13.72301001,13.81636964
Dok2,16.42914371,16.33030986,16.42503513,16.21197433,16.24432428,16.30515875,16.24028992,16.29249984
Cetn2,13.96536177,13.82689696,14.05797818,13.91968611,13.86984023,13.96475956,13.50011123,13.63314439
Ago2,13.96571681,13.96634143,14.42133943,14.14345599,14.19546738,14.2044538,13.85663705,13.76861122
Spata24,15.78068077,15.43200545,15.82991979,15.40229078,15.52887838,15.5540887,14.90287743,14.9776498
Fxr2,13.48704785,13.4227164,13.94482213,13.86367525,13.75505967,13.66002302,13.12635634,13.15699841
Nfia,15.63398078,15.68972117,16.08647843,16.21724221,15.93724635,15.91796715,15.30919889,15.33189253
Aplf,15.36912829,15.29521103,15.72555384,15.83798665,15.13845082,15.19561606,15.13019421,15.01485653
Phactr1,14.35950071,14.33123134,14.33680848,14.15908041,13.98640983,13.94046607,13.99949926,13.99949926
Syne2,14.04169666,14.08601368,14.15480668,13.90666795,13.31172025,13.51488814,13.16874474,13.20225424
Kdm5b,13.61364626,13.52656122,14.14981652,14.05541597,13.96681563,13.92207849,13.45905412,13.69741861
Fxr1,14.23653089,14.20608233,14.32948816,14.29448423,14.22648221,14.2083697,14.20726094,14.17365554
Irf6,13.3487184,13.39909328,13.4089629,13.1999111,13.15288364,13.14180398,13.01274381,13.02556993
Pdap1,15.43087132,15.38820871,15.34049375,15.34049375,15.30126829,15.25528742,14.88706858,14.95167397
Fam179b,12.56294473,12.45965274,12.82551679,12.81920988,12.54881383,12.33863558,12.2492063,11.96939699
Ppp1r13l,13.36307133,13.30009092,15.14048281,15.13771844,15.2280675,15.09690021,13.92069497,14.02859361
Usp1,16.58919796,16.64006446,17.02416233,16.89926159,16.58284423,16.62702608,16.34194166,16.34894406
Pagr1b,13.30213953,13.28277004,13.41974223,13.20179521,12.9391874,13.0767709,12.79681946,12.69604629
Smarcc2,12.75853849,12.70030912,13.47494721,13.1667158,13.1632705,13.19434533,12.85020411,12.89915939
Tfap4,12.08694104,11.78269717,12.64619503,12.78880113,11.99862529,11.81076803,12.12509165,11.87016412
Kti12,15.06140017,14.9899663,15.28013261,15.16858797,15.03388827,15.03388827,14.67753784,14.8064656
Rps3,13.53116947,13.56930584,13.70930594,13.73429803,13.74514343,13.69227117,13.61251077,13.55342127
Dctpp1,14.62129268,14.76811255,14.95593585,15.24058694,14.23309189,14.38174507,14.07948859,14.13087014
Gak,13.91593537,13.93407823,13.96943795,13.91666128,13.96536177,13.9836652,14.07328796,13.97429208
