ID	0h.a	0h.b	2h.a	2h.b	8h.a	8h.b	16h.a	16h.b
Ccnt1	16.0308844976473	16.0569082587286	15.780680765725	15.997225143677	15.8839666019577	15.8559596655418	16.0009591972012	15.8839666019577
Ccnt2	13.6296570191858	13.653180387473	13.5759591400355	13.4858405062105	13.4270272982061	13.3999685410679	13.4379561927861	13.4590541192354
Ccnyl1	14.7242785226604	14.7812874842838	14.8189570855413	14.8189570855413	14.7551398802406	14.7937016970909	14.9658687811858	14.955935845838
Ccr7	12.6633031500631	12.7038819954205	12.7656389536198	12.4075156906843	12.5506459437967	12.7050925669237	12.9001910117099	12.4983863229973
Ccser1	15.4267832206879	15.5131012578826	14.8808663692825	15.0741159221031	15.2694213386805	15.4624045045798	14.9721387340016	15.1246094571329
Ccser2	13.7070310147802	13.7541141881005	13.4831893845048	14.1670666664611	13.8521371979308	13.8419960493858	13.7799013205537	13.7196118161276
Cct5	13.2935248664895	13.4399049201182	13.4839093224571	13.6949904295223	13.3157445851156	13.3852538579194	13.3228737421536	12.7196733125194
Cd247	11.605753126658	11.5524316702932	13.0314644623198	11.1143753346472	11.3586126342159	11.3120412655529	11.1534825354583	10.8478281159762
Cd2bp2	15.1377184375524	15.0672243609872	15.4472185127614	14.9954887940708	14.9413419829766	15.0362304417715	15.0910095508962	15.1474578207951
Cd3e	11.5789724349968	11.7405333355328	12.7254393359534	11.3787580604183	11.6741679814336	11.9693969887601	11.8132314161249	11.6666275515629
Cd74	12.5187347057492	12.6722567954281	12.6814737343925	12.1798597665673	12.2986024550658	12.5397251542063	12.5980513137663	12.3887682808529
Cd86	14.698880960847	14.4536921551979	14.634739733279	14.3627904821283	14.0812649887682	13.9877715116874	13.8834100279543	13.6317274732541
Cd99l2	13.2310003379298	12.9054325290429	12.1223589892181	12.022592712393	13.4526996894305	12.9171491603519	13.6116612491383	13.4560803530758
Cdc42se1	12.431942271258	12.6532256605023	13.5817247701567	14.24383021113	13.3549499159685	12.6899436563546	12.24476225086	12.5534176389049
Cdc42se2	15.3882087129126	15.421780127967	15.3433475738735	15.3729209991047	15.3811723904439	15.4040283629266	15.3971437143019	15.4073407044575
Cdh4	17.7564732137717	17.7201507632956	17.7564732137717	17.6754101345795	17.6754101345795	17.6754101345795	17.6754101345795	17.7564732137717
Cdk11b	15.593163476783	15.5785582871325	15.6820785770252	15.3656617031227	15.6231894426014	15.6573583762682	15.7459404717907	15.7033285539953
Cdk15	15.4147408530517	15.3116998029808	15.4428005081755	15.4412819966522	15.3640294752828	15.321806019687	15.6022928523295	15.5899499743829
Cdk5rap2	14.1452723626448	14.1702284315629	14.0050131365834	13.9210006305183	13.8278451181094	13.9448221309718	14.0416966600327	13.9498007976941
Cdk7	18.4056956876552	18.3418066081735	18.313504955772	18.4712918602885	18.4712918602885	18.4712918602885	18.4056956876552	18.4712918602885
Cdk9	15.305721946725	14.931661049931	14.8571492046248	14.9328623862444	15.1809507025396	15.144426753239	14.8260435516087	14.9995912512171
Cdr2	13.5583906995208	13.5759591400355	13.835208397032	13.5646230739239	14.068224498609	13.7411101923518	13.8427417061877	13.7364349467108
Cdt1	15.3929412481702	15.0981520933219	15.0836917242796	15.7255538435679	15.6022928523295	15.295211025835	15.2580935341321	15.4602138756339
Cdx2	14.1831516637892	13.9066679483892	13.6331443920264	13.8171736833262	13.6195169924012	13.7082786194415	13.2809339342196	13.0793460946709
Cdyl	13.4080752003058	13.514023388241	13.2413436990018	13.674501658152	13.137587474882	13.1144375847498	12.8961979262992	12.6294007817773
Cdyl2	12.4749815741095	12.5187347057492	12.1750719306193	12.5789191097211	12.2512622161774	12.3969548745038	12.4648945489595	12.4296672143281
Ceacam1	15.9539793477358	15.9179671543072	15.7006812091605	15.7776374040714	15.7033285539953	15.6444877914448	15.5540886965487	15.5884101221799
Celsr3	15.5593413528011	15.535874981201	15.4195579892114	15.4717990593454	15.5213860429993	15.4730401770712	15.4648380315921	15.4833018302871
Cenpc	13.6461733166968	13.1318112854842	13.3808016960529	12.9592274734932	13.4955495045447	13.4508920251986	13.4704068721702	13.6022797890527
Cenpj	12.8100961565199	12.6975989790608	12.1482020217655	12.7766428086624	12.8532976472549	12.8452525720867	12.565575806715	12.5113214395746
Cenpt	13.9642770564684	13.9086313965546	13.9415914808332	13.9803258925708	13.7519043018769	13.7956286897853	13.9647595617239	13.7596455333108
Cenpu	14.7973997956771	14.6821182475538	14.4357220610194	14.7825544342734	14.4202711746358	14.6269196993796	14.7594223116674	14.6115508925063
Cep128	14.4464513850185	14.4993716046916	14.8884015622359	14.5321849179288	14.584172061285	14.5520197123251	14.1274916411569	14.1971274689172
Cep135	13.3080896739175	13.1444473827366	13.4691624662191	13.5135042462916	12.7439764892339	13.1726738044235	12.6388238084158	12.6043986635225
Cep164	12.3578438583146	12.24476225086	12.4576516401868	12.658857192798	11.747779650355	11.9628357431354	11.7618178976099	12.1438642360302
Cep192	13.8851962876492	13.9791794743983	14.0344516001881	13.8154806830545	13.7216666513079	13.8529704972286	13.6963629034594	13.5504178953425
Cep41	14.1604291138618	14.1566485145742	13.5590939267953	14.0970505873483	13.8040174157631	13.8651346487156	13.9293304389999	13.9250228847696
Cep57	14.9702095272754	14.9608812526277	14.1172437343435	14.4833840466141	14.3743631832406	14.5919443047507	14.441083697607	14.315506623299
Cep63	15.6324447354736	15.6093968755337	15.826034182339	15.7651964478891	15.7953559285748	15.780680765725	15.9071612304717	15.8444085895178
Cep95	13.603134567948	13.8436331819247	13.4107939993855	13.4185968874566	13.5668577460545	13.7041548979237	13.3607299643234	13.5856133299504
Cgnl1	13.7717999432333	13.7005898746704	13.4121476141929	13.3792013405799	13.2694603822906	13.0269877427594	12.7766428086624	13.0946543571757
Chchd3	12.4344137202598	12.4463809962898	12.4287505019895	12.2047803051654	12.5883483874369	12.5408307526515	12.3522193435326	12.431942271258
Chd3	16.3601356846936	16.3051587509524	15.5593413528011	16.1353957396367	16.2119743276093	16.2343887679779	15.9115361962924	15.8724179142243
Chd8	15.7459404717907	15.7156350721182	15.1600157060442	15.5972699603116	15.517317375121	15.5473199477959	15.4320054513557	15.4308713205101
Chd9	13.0793460946709	13.0176716808594	12.6975989790608	12.7397576563444	12.8216953287967	12.8406403451085	12.966914377529	12.8627907975929
Cherp	13.3825696605008	13.4489002443887	13.3938261495477	13.2630351458304	13.1392706739845	13.0961154453066	13.1174153304953	13.0055378717408
Chfr	14.4818484923917	14.5081861828451	14.8445040946151	14.6745266928276	14.5438148539895	14.6444415172047	14.4617720299435	14.4015086539376
Chka	13.5693058424023	13.2947503113236	13.7784991359694	13.7878065512558	13.5407543844621	13.5856133299504	13.7204887819948	13.4508920251986
Chmp2b	12.3692269085114	12.5164807957626	11.8221111977097	12.4420334119041	12.0545020795346	12.289579780332	12.3303819970567	12.0729034962414
Chn2	13.6892277555354	13.9864098281419	13.6306063705876	13.6841400813693	13.3963142857147	12.9575138955835	13.3066522737999	13.4300320985846
Chrac1	12.9341188777588	13.0732330259624	12.9696629744462	12.8027961974383	12.9737091992554	12.9915046335685	13.4489002443887	13.3760799543885
Chtf18	13.6625942476361	13.6247849844556	13.8907547709668	13.7164842368708	13.5549596904633	13.62919681398	13.6268029405751	13.5960059816695
Chtop	11.8962555470227	11.8902022390111	12.0038447121112	12.573242247901	11.9512268875491	12.3131465593503	12.260735184619	12.40637234368
Cir1	14.5962240409374	14.2151871754416	14.8082017342263	14.5805400838784	14.2960027939211	14.5137928757508	14.2466240897224	14.3540259185182
Ciz1	12.9827815101574	12.9368403313222	12.9149200141869	12.7540288970608	12.3808457621073	12.5782755254603	12.513644434137	12.342816639915
Clasrp	13.7531948975204	13.7831868136854	13.6809111491636	13.5362361526959	13.6558277943742	13.9029239829528	13.9404660696683	13.7871741756999
Clcn1	13.4576031332621	13.6995831812921	13.2961975029007	13.4080752003058	13.3475867560499	13.4024173379537	13.653180387473	13.3630713331361
Clcn5	13.9437815881573	13.9279915315365	13.4785832842255	13.6995831812921	13.6712229297638	13.8063634824197	13.3620958999747	13.412576211065
Clec2d	14.4536921551979	14.5147367224408	14.7604265113438	15.0243643232539	14.4932314091964	14.5201502339476	14.439046925733	14.4577036726013
Clint1	13.4749472127104	13.755662139825	13.64290154372	13.64290154372	13.6364375451651	13.6675895189647	13.5798470116881	13.6656510233194
Clk2	14.8544165111373	14.908589991506	14.608481062494	14.7973997956771	14.6100563685506	14.5989657115946	14.8128041706708	14.558265661417
Clk3	14.6327978210499	14.2593481139351	15.0187489787451	14.5989657115946	14.777685539969	14.7787995261975	14.3617104817179	14.441083697607
Clns1a	14.2394077593493	14.3379512699876	14.2384072746596	14.1661222312909	14.2593481139351	14.1353892362056	14.7604265113438	14.6735788158892
Cnksr3	12.1658156605608	12.3781939464342	12.4832679130143	12.1270628319392	12.4030147774896	12.2773810692602	12.3637293377342	12.4050073302287
Cnn3	14.0429218711928	13.8559759231699	13.8807768056684	13.7173226668852	13.7839752566479	13.9725890717558	13.8993856009753	13.6688399683406
Cnnm1	13.9074922901319	14.0536413905433	14.0096771325126	13.7359385976787	13.7070310147802	13.7148212697572	13.755662139825	13.7950010861436
Cnnm4	12.5334990856096	12.5952075030832	13.3203630220173	12.6948367310738	13.2935248664895	13.3963142857147	12.8859270722561	13.0406565565842
Cnot2	13.2279167076661	13.1905335883328	13.3541828387391	13.219933633083	13.2475648481406	13.3498843288215	13.2896564863804	13.2551783099044
Cnot4	15.3091988894606	15.3273486241185	15.2494605389957	15.331892531714	15.2481224404725	15.2714995678081	15.4519545644958	15.3770741478099
Cnot6l	13.708726923321	13.477037407886	13.5188448646091	13.3671882447658	13.3353575205564	13.1489054008876	13.4158933276678	13.5434790719074
